CELL_Line,Tissue_name
ACH-000660,lymphocyte
ACH-000661,skin
ACH-000662,lung
ACH-000663,ovary
ACH-000664,lymphocyte
ACH-000665,lung
ACH-000666,lung
ACH-000667,lung
ACH-000668,breast
ACH-000669,lung
ACH-000670,lung
ACH-000671,liver
ACH-000672,lung
ACH-000673,central_nervous_system
ACH-000674,gastric
ACH-000675,lung
ACH-000676,central_nervous_system
ACH-000677,lung
ACH-000678,gastric
ACH-000679,esophagus
ACH-000680,colorectal
ACH-000681,lung
ACH-000682,upper_aerodigestive
ACH-000683,colorectal
ACH-000684,kidney
ACH-000685,pancreas
ACH-000686,liver
ACH-000687,lymphocyte
ACH-000688,ovary
ACH-000689,soft_tissue
ACH-000690,lung
ACH-000691,breast
ACH-000692,upper_aerodigestive
ACH-000693,esophagus
ACH-000694,esophagus
ACH-000695,lung
ACH-000696,ovary
ACH-000697,lymphocyte
ACH-000698,lung
ACH-000699,breast
ACH-000700,lung
ACH-000701,ovary
ACH-000702,lymphocyte
ACH-000703,lung
ACH-000704,ovary
ACH-000705,lung
ACH-000706,lung
ACH-000707,lymphocyte
ACH-000708,colorectal
ACH-000709,kidney
ACH-000710,lung
ACH-000711,breast
ACH-000712,lung
ACH-000713,ovary
ACH-000714,plasma_cell
ACH-000715,upper_aerodigestive
ACH-000716,thyroid
ACH-000717,esophagus
ACH-000718,lung
ACH-000719,ovary
ACH-000720,urinary_tract
ACH-000721,breast
ACH-000722,colorectal
ACH-000723,upper_aerodigestive
ACH-000724,urinary_tract
ACH-000725,breast
ACH-000726,esophagus
ACH-000727,lung
ACH-000728,blood
ACH-000729,lung
ACH-000730,skin
ACH-000731,lung
ACH-000732,upper_aerodigestive
ACH-000733,lung
ACH-000734,liver
ACH-000735,upper_aerodigestive
ACH-000736,gastric
ACH-000737,lung
ACH-000738,central_nervous_system
ACH-000739,liver
ACH-000740,upper_aerodigestive
ACH-000741,urinary_tract
ACH-000742,fibroblast
ACH-000743,lung
ACH-000744,lung
ACH-000745,plasma_cell
ACH-000746,gastric
ACH-000747,lung
ACH-000748,bone
ACH-000749,lung
ACH-000750,skin
ACH-000751,blood
ACH-000752,lung
ACH-000753,urinary_tract
ACH-000754,lymphocyte
ACH-000755,breast
ACH-000756,central_nervous_system
ACH-000757,lung
ACH-000758,gastric
ACH-000759,breast
ACH-000760,central_nervous_system
ACH-000761,gastric
ACH-000762,upper_aerodigestive
ACH-000763,plasma_cell
ACH-000764,gastric
ACH-000765,skin
ACH-000766,lung
ACH-000767,lung
ACH-000768,breast
ACH-000769,lung
ACH-000770,blood
ACH-000771,upper_aerodigestive
ACH-000772,soft_tissue
ACH-000773,lymphocyte
ACH-000774,lung
ACH-000775,lung
ACH-000776,central_nervous_system
ACH-000777,esophagus
ACH-000778,upper_aerodigestive
ACH-000779,lung
ACH-000780,lung
ACH-000781,lung
ACH-000782,blood
ACH-000783,breast
ACH-000784,esophagus
ACH-000785,lung
ACH-000786,lymphocyte
ACH-000787,lung
ACH-000788,skin
ACH-000789,lung
ACH-000790,lung
ACH-000791,lung
ACH-000792,kidney
ACH-000793,gastric
ACH-000794,upper_aerodigestive
ACH-000795,blood
ACH-000796,ovary
ACH-000797,fibroblast
ACH-000798,colorectal
ACH-000799,skin
ACH-000800,lung
ACH-000801,skin
ACH-000802,urinary_tract
ACH-000803,lung
ACH-000804,peripheral_nervous_system
ACH-000805,skin
ACH-000806,lymphocyte
